Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship,Job_Role
,,,,,9.89,Robotics & Automation,0,,CPA,,,,,,,,,,Robotics Engineer
,,,,,6.72,Biotechnology,1,,Google Analytics,,,,,,,,,,Automotive Design Engineer
,,,,,6.95,Business Analytics (Advanced),2,,React,,,,,,,,,,HR Director
S297,24.0,Male,3.3,1200.0,7.5,Arts,1,3.0,1,6.0,5.0,1.0,50000.0,6.0,5.0,Entry,8.0,No,
,,,,,9.14,Education,2,,Google Analytics,,,,,,,,,,Content Writer
,,,,,7.58,Economics,1,,Photoshop,,,,,,,,,,Psychologist
,,,,,9.32,Chemistry (M.Sc),1,,CFA,,,,,,,,,,Senior Researcher
,,,,,9.61,Environmental Science (M.Sc),0,,AWS,,,,,,,,,,Senior Researcher
,,,,,8.3,Forensic Science (M.Sc),0,,C++,,,,,,,,,,Data Engineer
,,,,,7.58,Transportation Engineering,1,,AutoCAD,,,,,,,,,,Senior Data Scientist
,,,,,7.05,Robotics & Automation,1,,Scrum Master,,,,,,,,,,Automotive Design Engineer
,,,,,8.97,Marketing,2,,React,,,,,,,,,,Business Analyst
,,,,,7.67,Aviation Management (Advanced),1,,React,,,,,,,,,,Hospital Administrator
,,,,,7.77,Business Analytics (Advanced),1,,Scrum Master,,,,,,,,,,Product Manager
,,,,,7.56,Operations Management,1,,Photoshop,,,,,,,,,,Marketing Executive
,,,,,6.61,Nursing,1,,C++,,,,,,,,,,Dietician
,,,,,8.43,Economics,1,,Google Analytics,,,,,,,,,,Financial Auditor
,,,,,9.55,Human Resource (Advanced),0,,AutoCAD,,,,,,,,,,Investment Banker
,,,,,6.8,Information Technology (Masters),2,,Scrum Master,,,,,,,,,,VLSI Architect
,,,,,6.9,Chemical Engineering,1,,AutoCAD,,,,,,,,,,Process Engineer
,,,,,7.06,Retail Management,1,,,,,,,,,,,,Aviation Operations Manager
,,,,,7.4,History,1,,AWS,,,,,,,,,,Policy Analyst
,,,,,7.25,Automobile Engineering,2,,CFA,,,,,,,,,,Automotive Design Engineer
,,,,,7.84,Fine Arts,0,,CFA,,,,,,,,,,Public Relations Officer
,,,,,9.77,Artificial Intelligence (Masters),2,,,,,,,,,,,,R&D Engineer
,,,,,6.55,VLSI,2,,PMP,,,,,,,,,,VLSI Architect
,,,,,8.28,Electronics & Communication Engineering,2,,,,,,,,,,,,Embedded Systems Engineer
,,,,,6.26,Food Technology,1,,Photoshop,,,,,,,,,,Food Safety Officer
,,,,,9.43,Biotechnology (M.Sc),0,,Six Sigma,,,,,,,,,,Senior Researcher
,,,,,8.25,Economics,2,,AWS,,,,,,,,,,Financial Auditor
,,,,,8.89,Marketing,1,,Python,,,,,,,,,,Business Analyst
,,,,,8.09,Biotechnology (Masters),2,,PMP,,,,,,,,,,Senior Data Scientist
,,,,,7.45,Marketing,0,,Scrum Master,,,,,,,,,,HR Generalist
,,,,,8.38,Computer Applications,2,,Six Sigma,,,,,,,,,,Financial Auditor
,,,,,6.08,Agriculture,2,,AutoCAD,,,,,,,,,,Registered Nurse
,,,,,7.69,Biotechnology (Masters),1,,Scrum Master,,,,,,,,,,Senior Data Scientist
,,,,,8.4,Public Administration,0,,React,,,,,,,,,,Public Relations Officer
S326,22.0,Female,3.5,1300.0,8.0,Business,2,5.0,2,7.0,6.0,2.0,70000.0,7.0,4.0,Mid,7.0,No,
,,,,,9.91,Fashion Design,1,,Java,,,,,,,,,,UI/UX Designer
,,,,,8.79,Embedded Systems,2,,AWS,,,,,,,,,,R&D Engineer
S280,25.0,Female,3.7,1400.0,8.75,Psychology,3,7.0,3,8.0,7.0,3.0,88000.0,8.0,2.0,Mid,7.0,No,
,,,,,6.08,AI & Data Science,0,,Scrum Master,,,,,,,,,,System Engineer
,,,,,8.99,Aerospace Engineering,0,,PMP,,,,,,,,,,Robotics Engineer
,,,,,6.33,Hospitality Management,0,,Six Sigma,,,,,,,,,,Relationship Manager
,,,,,6.58,Data Science,2,,Google Analytics,,,,,,,,,,Full Stack Developer
,,,,,8.45,Biomedical Engineering,1,,Google Analytics,,,,,,,,,,Biomedical Engineer
,,,,,7.19,Aviation Management,0,,React,,,,,,,,,,Aviation Operations Manager
,,,,,9.03,Computer Science Engineering (Masters),2,,React,,,,,,,,,,R&D Engineer
,,,,,8.56,Sanskrit,2,,PMP,,,,,,,,,,Content Writer
,,,,,6.16,Human Resource Management,2,,CPA,,,,,,,,,,Sales Manager
,,,,,6.71,Communication Design,0,,AutoCAD,,,,,,,,,,Fashion Stylist
,,,,,8.25,UI/UX Design,2,,CFA,,,,,,,,,,Product Designer
,,,,,7.17,Finance (Advanced),0,,CFA,,,,,,,,,,HR Director
,,,,,9.38,Biotechnology (Masters),2,,React,,,,,,,,,,R&D Engineer
,,,,,6.42,Food Science & Nutrition,0,,Scrum Master,,,,,,,,,,Statistician
,,,,,6.66,Agriculture (M.Sc),1,,CPA,,,,,,,,,,Clinical Psychologist
,,,,,9.53,Taxation,1,,CPA,,,,,,,,,,Chartered Accountant
,,,,,8.98,Transportation Engineering,0,,C++,,,,,,,,,,R&D Engineer
,,,,,7.72,Communication Design,0,,,,,,,,,,,,Product Designer
,,,,,6.48,Electronics (M.Sc),0,,Google Analytics,,,,,,,,,,Statistician
,,,,,6.02,Logistics & Supply Chain (Advanced),2,,CPA,,,,,,,,,,Agri-Business Manager
,,,,,8.69,Food Science & Nutrition,1,,PMP,,,,,,,,,,Senior Researcher
,,,,,6.61,Aviation Management (Advanced),2,,Google Analytics,,,,,,,,,,Portfolio Manager
,,,,,6.85,Computer Applications,1,,PMP,,,,,,,,,,Tax Consultant
S346,22.0,Female,3.5,1320.0,8.25,Business,2,6.0,2,7.0,6.0,2.0,70000.0,7.0,4.0,Mid,7.0,No,
,,,,,7.88,Computer Science,2,,,,,,,,,,,,Lab Technician
,,,,,6.94,Product Design,2,,AWS,,,,,,,,,,Fashion Stylist
,,,,,8.34,Product Design,2,,CFA,,,,,,,,,,Product Designer
,,,,,9.01,Environmental Science (M.Sc),0,,Java,,,,,,,,,,Senior Researcher
,,,,,6.24,Automobile Engineering,0,,Scrum Master,,,,,,,,,,Food Safety Officer
,,,,,7.16,Instrumentation Engineering,2,,Java,,,,,,,,,,Control Systems Engineer
,,,,,7.47,Healthcare Management,1,,AutoCAD,,,,,,,,,,Aviation Operations Manager
,,,,,6.44,Hindi,1,,Photoshop,,,,,,,,,,Social Worker
,,,,,6.38,Mechatronics Engineering,0,,React,,,,,,,,,,Food Safety Officer
S031,22.0,Male,3.4,1260.0,7.75,Marketing,1,4.0,1,7.0,6.0,1.0,46000.0,6.0,5.0,Entry,7.0,No,
,,,,,8.85,Communication Design,2,,CFA,,,,,,,,,,UI/UX Designer
,,,,,7.02,Data Science,0,,,,,,,,,,,,Full Stack Developer
,,,,,6.8,Mining Engineering,0,,Java,,,,,,,,,,Process Engineer
,,,,,6.76,Environmental Science (M.Sc),1,,AutoCAD,,,,,,,,,,Clinical Psychologist
,,,,,9.23,Food Science & Nutrition,0,,Google Analytics,,,,,,,,,,Senior Researcher
,,,,,6.21,Statistics,2,,Java,,,,,,,,,,Forensic Expert
,,,,,6.18,Textile Engineering,2,,AWS,,,,,,,,,,Food Safety Officer
,,,,,6.37,Instrumentation Engineering,1,,AutoCAD,,,,,,,,,,Maintenance Engineer
,,,,,7.48,Finance (Advanced),2,,CFA,,,,,,,,,,HR Director
,,,,,7.09,Thermal Engineering,0,,Java,,,,,,,,,,VLSI Architect
S160,25.0,Female,3.7,1440.0,9.0,Marketing,3,7.0,3,9.0,8.0,3.0,94000.0,9.0,2.0,Mid,6.0,No,
,,,,,8.81,Thermal Engineering,1,,CFA,,,,,,,,,,R&D Engineer
,,,,,9.0,Aerospace Engineering,2,,React,,,,,,,,,,Robotics Engineer
,,,,,8.56,Performing Arts,0,,React,,,,,,,,,,Journalist
,,,,,6.09,Agri-Business Management,1,,Six Sigma,,,,,,,,,,Agri-Business Manager
,,,,,9.87,Mathematics,2,,AutoCAD,,,,,,,,,,Software Developer
,,,,,8.46,Electronics,2,,Java,,,,,,,,,,Lab Technician
,,,,,8.37,Aviation Management,2,,CPA,,,,,,,,,,Retail Store Manager
,,,,,9.68,Operations Management (Advanced),2,,React,,,,,,,,,,Investment Banker
,,,,,7.6,Banking & Insurance,2,,Six Sigma,,,,,,,,,,Retail Store Manager
,,,,,9.43,Journalism & Mass Communication,2,,AWS,,,,,,,,,,Journalist
,,,,,7.77,Retail Management,1,,CPA,,,,,,,,,,Retail Store Manager
,,,,,8.16,Artificial Intelligence,1,,Python,,,,,,,,,,Lab Technician
,,,,,6.9,Mathematics (M.Sc),0,,AWS,,,,,,,,,,Clinical Psychologist
,,,,,6.78,Physics,0,,AWS,,,,,,,,,,Data Analyst
,,,,,9.08,Computer Science Engineering (Masters),0,,AutoCAD,,,,,,,,,,R&D Engineer
,,,,,8.92,Healthcare Management (Advanced),0,,React,,,,,,,,,,Supply Chain Manager
,,,,,7.33,Taxation,1,,C++,,,,,,,,,,Tax Consultant
,,,,,6.73,Metallurgical Engineering,2,,,,,,,,,,,,Process Engineer
,,,,,9.59,Logistics & Supply Chain (Advanced),0,,PMP,,,,,,,,,,Supply Chain Manager
,,,,,8.01,Jewellery Design,2,,Scrum Master,,,,,,,,,,Product Designer
,,,,,9.65,Political Science,1,,Google Analytics,,,,,,,,,,Content Writer
,,,,,7.49,Robotics & Automation,2,,Python,,,,,,,,,,Automotive Design Engineer
,,,,,9.4,Artificial Intelligence (M.Sc),1,,Java,,,,,,,,,,Senior Researcher
,,,,,9.01,Retail Management,1,,AutoCAD,,,,,,,,,,Hotel Manager
,,,,,8.67,Cybersecurity (Masters),2,,C++,,,,,,,,,,R&D Engineer
,,,,,6.54,Industrial Design,2,,Photoshop,,,,,,,,,,Fashion Stylist
,,,,,7.44,Digital Marketing,1,,Six Sigma,,,,,,,,,,HR Generalist
,,,,,9.73,Data Science (M.Sc),1,,Python,,,,,,,,,,Senior Researcher
,,,,,8.53,Economics,1,,PMP,,,,,,,,,,Content Writer
,,,,,8.65,Agri-Business Management,2,,Photoshop,,,,,,,,,,Supply Chain Manager
,,,,,6.16,Mechanical Engineering ,1,,Six Sigma,,,,,,,,,,Site Supervisor
,,,,,6.66,Digital Marketing,1,,Python,,,,,,,,,,HR Generalist
,,,,,6.28,Marketing (Advanced),0,,CFA,,,,,,,,,,Business Development Manager
,,,,,6.16,Computer Science Engineering (Masters),2,,AWS,,,,,,,,,,Robotics System Architect
,,,,,7.66,Artificial Intelligence (Masters),1,,React,,,,,,,,,,Senior Data Scientist
,,,,,7.89,Machine Learning,1,,AWS,,,,,,,,,,Senior Data Scientist
,,,,,7.63,Biotechnology,1,,AWS,,,,,,,,,,Biomedical Engineer
S400,25.0,Female,3.7,1440.0,9.0,Marketing,3,7.0,3,9.0,8.0,3.0,94000.0,9.0,2.0,Mid,6.0,No,
,,,,,8.11,Psychology,0,,CFA,,,,,,,,,,Microbiologist
,,,,,8.58,Data Science (M.Sc),1,,Python,,,,,,,,,,Senior Researcher
,,,,,7.51,Travel & Tourism,1,,React,,,,,,,,,,Retail Store Manager
S023,23.0,Male,3.4,1280.0,7.75,Business,1,4.0,1,7.0,6.0,1.0,48000.0,6.0,5.0,Entry,8.0,No,
,,,,,7.35,Economics,0,,React,,,,,,,,,,Tax Consultant
,,,,,9.93,Economics,2,,PMP,,,,,,,,,,Content Writer
,,,,,7.9,Embedded Systems,0,,Java,,,,,,,,,,Senior Data Scientist
,,,,,8.29,Journalism & Mass Communication,1,,Six Sigma,,,,,,,,,,Public Relations Officer
,,,,,8.13,Chemical Engineering,0,,AutoCAD,,,,,,,,,,Structural Engineer
,,,,,8.6,History,1,,C++,,,,,,,,,,Content Writer
,,,,,9.5,Microbiology (M.Sc),0,,AutoCAD,,,,,,,,,,Senior Researcher
,,,,,6.74,Business Analytics (Advanced),2,,AWS,,,,,,,,,,HR Director
,,,,,6.08,Statistics (M.Sc),0,,PMP,,,,,,,,,,Statistician
,,,,,6.07,Agriculture Engineering,2,,Google Analytics,,,,,,,,,,Food Safety Officer
,,,,,6.19,Aeronautical Engineering,0,,Six Sigma,,,,,,,,,,Food Safety Officer
,,,,,6.27,Operations Management,2,,CPA,,,,,,,,,,Sales Manager
,,,,,7.53,Civil Engineering,1,,PMP,,,,,,,,,,Structural Engineer
,,,,,8.61,Statistics,2,,Scrum Master,,,,,,,,,,Software Developer
,,,,,6.25,Forensic Science (M.Sc),1,,Java,,,,,,,,,,Statistician
S173,23.0,Male,3.4,1260.0,7.75,Psychology,1,4.0,1,6.0,5.0,1.0,56000.0,6.0,5.0,Entry,8.0,No,
,,,,,7.03,Psychology,2,,,,,,,,,,,,Policy Analyst
,,,,,9.18,Computer Science Engineering,0,,Google Analytics,,,,,,,,,,AI Engineer
,,,,,8.39,AI & Data Science,0,,AutoCAD,,,,,,,,,,Data Scientist
,,,,,8.6,History,2,,C++,,,,,,,,,,Content Writer
,,,,,7.54,Aviation Management (Advanced),0,,PMP,,,,,,,,,,Hospital Administrator
,,,,,7.82,Marine Engineering,2,,CPA,,,,,,,,,,Biomedical Engineer
,,,,,7.67,International Business (Advanced),0,,CFA,,,,,,,,,,Product Manager
,,,,,8.93,Computer Applications,0,,Six Sigma,,,,,,,,,,Chartered Accountant
,,,,,8.99,Human Resource (Advanced),0,,,,,,,,,,,,Investment Banker
,,,,,7.82,Psychology (M.Sc),0,,Python,,,,,,,,,,Data Engineer
,,,,,8.75,Digital Marketing (Advanced),0,,C++,,,,,,,,,,Investment Banker
,,,,,8.71,Finance (Advanced),0,,Photoshop,,,,,,,,,,Investment Banker
,,,,,9.71,Computer Science (M.Sc),2,,Scrum Master,,,,,,,,,,Senior Researcher
,,,,,7.78,Finance (Advanced),0,,AutoCAD,,,,,,,,,,Product Manager
,,,,,9.64,Marketing (Advanced),2,,CPA,,,,,,,,,,Investment Banker
,,,,,7.63,Statistics (M.Sc),2,,CPA,,,,,,,,,,Data Engineer
,,,,,9.76,Electrical & Electronics Engineering,2,,Java,,,,,,,,,,VLSI Design Engineer
,,,,,8.0,Public Administration,0,,Photoshop,,,,,,,,,,Public Relations Officer
,,,,,6.14,Physics (M.Sc),0,,CPA,,,,,,,,,,Statistician
,,,,,6.06,Entrepreneurship,0,,React,,,,,,,,,,Sales Manager
,,,,,7.07,Philosophy,0,,React,,,,,,,,,,Policy Analyst
,,,,,7.1,Aerospace Engineering,0,,Google Analytics,,,,,,,,,,Automotive Design Engineer
,,,,,8.11,Auditing,0,,Google Analytics,,,,,,,,,,Financial Auditor
,,,,,7.81,Instrumentation Engineering,0,,C++,,,,,,,,,,Embedded Systems Engineer
,,,,,6.17,Marketing (Advanced),1,,AWS,,,,,,,,,,Business Development Manager
,,,,,9.94,Structural Engineering,0,,AWS,,,,,,,,,,R&D Engineer
,,,,,8.28,AI & Data Science,2,,CPA,,,,,,,,,,Data Scientist
,,,,,9.39,Data Science,1,,,,,,,,,,,,AI Engineer
S290,25.0,Female,3.7,1440.0,9.0,Marketing,3,7.0,3,9.0,8.0,3.0,94000.0,9.0,2.0,Mid,6.0,No,
,,,,,7.9,Logistics & Supply Chain (Advanced),2,,Scrum Master,,,,,,,,,,Hospital Administrator
,,,,,9.29,Logistics & Supply Chain (Advanced),1,,Scrum Master,,,,,,,,,,Supply Chain Manager
,,,,,8.83,Data Science,2,,CPA,,,,,,,,,,AI Engineer
,,,,,9.64,Data Science,1,,AWS,,,,,,,,,,AI Engineer
,,,,,9.16,Microbiology,2,,AWS,,,,,,,,,,Clinical Research Associate
,,,,,6.15,Cybersecurity (Masters),0,,Python,,,,,,,,,,Robotics System Architect
,,,,,8.25,Finance,1,,PMP,,,,,,,,,,Marketing Executive
,,,,,6.33,Metallurgical Engineering,0,,,,,,,,,,,,Site Supervisor
,,,,,7.5,IT Management,2,,Python,,,,,,,,,,HR Director
,,,,,7.78,Chemical Engineering,1,,Java,,,,,,,,,,Structural Engineer
,,,,,9.09,Electronics & Communication Engineering,2,,Photoshop,,,,,,,,,,VLSI Design Engineer
,,,,,6.43,Biomedical Engineering,2,,Google Analytics,,,,,,,,,,Food Safety Officer
,,,,,9.71,Statistics,1,,AWS,,,,,,,,,,Software Developer
,,,,,6.48,Computer Science Engineering,2,,,,,,,,,,,,Software Engineer
,,,,,6.06,Logistics & Supply Chain (Advanced),1,,Photoshop,,,,,,,,,,Agri-Business Manager
,,,,,8.2,Robotics,2,,Photoshop,,,,,,,,,,Senior Data Scientist
,,,,,7.54,Food Technology,0,,C++,,,,,,,,,,Biomedical Engineer
,,,,,6.91,AI & Machine Learning,0,,Six Sigma,,,,,,,,,,Full Stack Developer
,,,,,6.3,Marine Engineering,0,,React,,,,,,,,,,Food Safety Officer
,,,,,8.93,Banking & Financial Services,1,,C++,,,,,,,,,,Supply Chain Manager
,,,,,6.84,Cybersecurity,0,,AWS,,,,,,,,,,Full Stack Developer
,,,,,9.83,Microbiology (M.Sc),1,,CPA,,,,,,,,,,Senior Researcher
,,,,,9.36,Taxation,0,,C++,,,,,,,,,,Chartered Accountant
,,,,,7.17,Data Science (M.Sc),1,,PMP,,,,,,,,,,Clinical Psychologist
,,,,,9.59,Power Systems,2,,CFA,,,,,,,,,,R&D Engineer
,,,,,7.62,Performing Arts,2,,PMP,,,,,,,,,,Public Relations Officer
,,,,,6.32,Textile Engineering,2,,C++,,,,,,,,,,Food Safety Officer
,,,,,6.91,Petroleum Engineering,0,,Google Analytics,,,,,,,,,,Automotive Design Engineer
,,,,,9.67,Forensic Science,1,,React,,,,,,,,,,Software Developer
,,,,,7.48,Environmental Science,2,,AutoCAD,,,,,,,,,,Dietician
,,,,,8.74,Cybersecurity,0,,,,,,,,,,,,AI Engineer
,,,,,9.71,Microbiology (M.Sc),0,,AutoCAD,,,,,,,,,,Senior Researcher
,,,,,9.59,International Business (Advanced),1,,Python,,,,,,,,,,Investment Banker
,,,,,6.56,Electronics & Communication Engineering,0,,PMP,,,,,,,,,,Control Systems Engineer
,,,,,8.9,Psychology (M.Sc),2,,C++,,,,,,,,,,Senior Researcher
,,,,,6.06,Operations Management,0,,PMP,,,,,,,,,,Sales Manager
,,,,,9.78,History,2,,Python,,,,,,,,,,Content Writer
,,,,,9.63,Biotechnology (M.Sc),0,,Photoshop,,,,,,,,,,Senior Researcher
,,,,,9.52,Game Design,0,,CFA,,,,,,,,,,UI/UX Designer
,,,,,6.35,Finance (Advanced),0,,Six Sigma,,,,,,,,,,Business Development Manager
,,,,,9.93,Cybersecurity (Masters),0,,CPA,,,,,,,,,,R&D Engineer
,,,,,8.47,Game Design,0,,Scrum Master,,,,,,,,,,Product Designer
,,,,,6.98,AI & Machine Learning,1,,CFA,,,,,,,,,,Full Stack Developer
,,,,,6.09,Geography,1,,AWS,,,,,,,,,,Social Worker
,,,,,8.97,Information Technology,2,,Scrum Master,,,,,,,,,,AI Engineer
,,,,,6.27,Machine Learning,0,,React,,,,,,,,,,Robotics System Architect
,,,,,7.73,Physics (M.Sc),0,,Scrum Master,,,,,,,,,,Data Engineer
,,,,,7.69,Textile Design,1,,C++,,,,,,,,,,Product Designer
,,,,,10.0,VLSI,2,,CFA,,,,,,,,,,R&D Engineer
,,,,,7.84,Nutrition & Dietetics,1,,AWS,,,,,,,,,,Microbiologist
,,,,,9.82,Marketing (Advanced),1,,Six Sigma,,,,,,,,,,Investment Banker
,,,,,9.95,Interior Design,0,,AutoCAD,,,,,,,,,,UI/UX Designer
,,,,,6.53,Industrial Design,1,,React,,,,,,,,,,Fashion Stylist
,,,,,7.76,Chemical Engineering,0,,Google Analytics,,,,,,,,,,Structural Engineer
,,,,,7.23,Instrumentation Engineering,2,,AutoCAD,,,,,,,,,,Control Systems Engineer
,,,,,9.36,Human Resource Management,0,,Java,,,,,,,,,,Business Analyst
,,,,,6.59,Nutrition & Dietetics,0,,Scrum Master,,,,,,,,,,Dietician
,,,,,9.69,Physics (M.Sc),2,,CPA,,,,,,,,,,Senior Researcher
,,,,,9.49,Mining Engineering,1,,Photoshop,,,,,,,,,,Project Manager
,,,,,7.5,Biotechnology (M.Sc),1,,Google Analytics,,,,,,,,,,Clinical Psychologist
S361,22.0,Male,3.4,1240.0,7.5,Business,1,4.0,1,6.0,5.0,1.0,52000.0,6.0,5.0,Entry,8.0,No,
,,,,,9.92,Mining Engineering,1,,React,,,,,,,,,,Project Manager
,,,,,6.93,Agriculture (M.Sc),1,,React,,,,,,,,,,Clinical Psychologist
,,,,,6.21,Textile Design,2,,,,,,,,,,,,Interior Architect
,,,,,7.15,International Business,0,,,,,,,,,,,,HR Generalist
,,,,,6.73,Robotics,2,,C++,,,,,,,,,,VLSI Architect
,,,,,9.9,Food Technology,1,,PMP,,,,,,,,,,Robotics Engineer
,,,,,9.41,Microbiology (M.Sc),1,,Java,,,,,,,,,,Senior Researcher
,,,,,9.18,Digital Marketing (Advanced),2,,Photoshop,,,,,,,,,,Investment Banker
,,,,,9.69,Education,2,,Python,,,,,,,,,,Content Writer
,,,,,9.72,Production Engineering,1,,Scrum Master,,,,,,,,,,Project Manager
,,,,,9.15,Human Resource Management,1,,AWS,,,,,,,,,,Business Analyst
,,,,,7.82,Metallurgical Engineering,0,,C++,,,,,,,,,,Structural Engineer
,,,,,9.76,Civil Engineering,1,,Six Sigma,,,,,,,,,,Project Manager
,,,,,6.6,AI & Machine Learning,2,,AWS,,,,,,,,,,Full Stack Developer
,,,,,8.63,Nutrition & Dietetics,1,,AutoCAD,,,,,,,,,,Clinical Research Associate
,,,,,9.41,Structural Engineering,2,,Scrum Master,,,,,,,,,,R&D Engineer
,,,,,6.13,Logistics & Supply Chain,2,,Python,,,,,,,,,,Sales Manager
,,,,,7.15,Data Science (M.Sc),1,,Python,,,,,,,,,,Clinical Psychologist
S374,21.0,Female,3.4,1260.0,7.75,Psychology,1,4.0,1,6.0,5.0,1.0,56000.0,6.0,5.0,Entry,8.0,No,
,,,,,9.39,Jewellery Design,2,,CFA,,,,,,,,,,UI/UX Designer
,,,,,6.06,Food Science & Nutrition,1,,Java,,,,,,,,,,Statistician
,,,,,6.02,Animation & Multimedia,1,,CPA,,,,,,,,,,Interior Architect
S055,25.0,Male,3.6,1380.0,8.5,Law,3,6.0,3,8.0,7.0,3.0,82000.0,8.0,3.0,Mid,6.0,No,
,,,,,7.11,Petroleum Engineering,1,,PMP,,,,,,,,,,Automotive Design Engineer
,,,,,8.11,Digital Marketing,0,,React,,,,,,,,,,Marketing Executive
,,,,,8.08,Computer Science Engineering,1,,Google Analytics,,,,,,,,,,Data Scientist
,,,,,6.78,Biotechnology,2,,Photoshop,,,,,,,,,,Dietician
,,,,,6.12,Computer Science Engineering (Masters),1,,Scrum Master,,,,,,,,,,Robotics System Architect
,,,,,7.39,Artificial Intelligence (M.Sc),0,,CFA,,,,,,,,,,Clinical Psychologist
,,,,,6.3,Industrial Design,2,,Scrum Master,,,,,,,,,,Interior Architect
,,,,,6.02,Graphic Design,1,,,,,,,,,,,,Interior Architect
,,,,,8.64,Sanskrit,1,,React,,,,,,,,,,Content Writer
,,,,,9.53,Chemistry,1,,React,,,,,,,,,,Software Developer
S037,24.0,Male,3.9,1530.0,9.5,Law,4,9.0,4,10.0,9.0,5.0,125000.0,10.0,1.0,Senior,5.0,No,
,,,,,9.75,Aviation Management (Advanced),0,,C++,,,,,,,,,,Supply Chain Manager
,,,,,7.14,Retail Management (Advanced),0,,C++,,,,,,,,,,Portfolio Manager
,,,,,8.85,Biotechnology,1,,CPA,,,,,,,,,,Robotics Engineer
,,,,,8.7,Banking & Insurance,1,,C++,,,,,,,,,,Hotel Manager
,,,,,9.03,Artificial Intelligence,1,,C++,,,,,,,,,,Software Developer
,,,,,7.07,Philosophy,1,,Google Analytics,,,,,,,,,,Policy Analyst
,,,,,7.32,Business Analytics,0,,Java,,,,,,,,,,Tax Consultant
,,,,,9.6,Information Technology,2,,Python,,,,,,,,,,AI Engineer
,,,,,6.4,Food Technology,2,,Python,,,,,,,,,,Food Safety Officer
,,,,,6.16,Travel & Tourism,0,,Photoshop,,,,,,,,,,Relationship Manager
S196,22.0,Female,3.5,1300.0,8.0,Business,2,5.0,2,7.0,6.0,2.0,70000.0,7.0,4.0,Mid,7.0,No,
,,,,,8.6,Information Technology,1,,Java,,,,,,,,,,AI Engineer
,,,,,6.15,Aviation Management,1,,Google Analytics,,,,,,,,,,Relationship Manager
S124,21.0,Female,3.7,1440.0,8.75,Marketing,3,7.0,3,8.0,7.0,3.0,72000.0,8.0,3.0,Mid,7.0,No,
,,,,,6.7,Data Science (Masters),0,,PMP,,,,,,,,,,VLSI Architect
,,,,,6.28,Marketing,2,,Python,,,,,,,,,,Sales Manager
,,,,,6.65,Aerospace Engineering,1,,CFA,,,,,,,,,,Automotive Design Engineer
